"filename", "language", "Handlebars", "JavaScript", "JSON", "SQL", "CSS", "comment", "blank", "total"
"c:\Users\mscon\Desktop\trialBookingApp\app.js", "JavaScript", 0, 195, 0, 0, 0, 33, 73, 301
"c:\Users\mscon\Desktop\trialBookingApp\config\appointmentRules.json", "JSON", 0, 0, 32, 0, 0, 0, 10, 42
"c:\Users\mscon\Desktop\trialBookingApp\config\nurse.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 35
"c:\Users\mscon\Desktop\trialBookingApp\config\psychologist1.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 16
"c:\Users\mscon\Desktop\trialBookingApp\config\psychologist2.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 16
"c:\Users\mscon\Desktop\trialBookingApp\config\psychologist3.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 16
"c:\Users\mscon\Desktop\trialBookingApp\config\psychologist4.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 16
"c:\Users\mscon\Desktop\trialBookingApp\config\psychologist5.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 16
"c:\Users\mscon\Desktop\trialBookingApp\config\psychologist6.json", "JSON", 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\mscon\Desktop\trialBookingApp\config\psychologist7.json", "JSON", 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\mscon\Desktop\trialBookingApp\config\researcher1.json", "JSON", 0, 0, 45, 0, 0, 0, 0, 45
"c:\Users\mscon\Desktop\trialBookingApp\config\researcher2.json", "JSON", 0, 0, 45, 0, 0, 0, 0, 45
"c:\Users\mscon\Desktop\trialBookingApp\config\room1.json", "JSON", 0, 0, 40, 0, 0, 0, 0, 40
"c:\Users\mscon\Desktop\trialBookingApp\config\room2.json", "JSON", 0, 0, 40, 0, 0, 0, 0, 40
"c:\Users\mscon\Desktop\trialBookingApp\config\room3.json", "JSON", 0, 0, 40, 0, 0, 0, 0, 40
"c:\Users\mscon\Desktop\trialBookingApp\modules\appointmentService.js", "JavaScript", 0, 73, 0, 0, 0, 10, 24, 107
"c:\Users\mscon\Desktop\trialBookingApp\modules\availableSlotsCalculationService.js", "JavaScript", 0, 388, 0, 0, 0, 3, 99, 490
"c:\Users\mscon\Desktop\trialBookingApp\modules\database.js", "JavaScript", 0, 104, 0, 0, 0, 1, 29, 134
"c:\Users\mscon\Desktop\trialBookingApp\package-lock.json", "JSON", 0, 0, 5082, 0, 0, 0, 1, 5083
"c:\Users\mscon\Desktop\trialBookingApp\package.json", "JSON", 0, 0, 21, 0, 0, 0, 1, 22
"c:\Users\mscon\Desktop\trialBookingApp\public\css\card.css", "CSS", 0, 0, 0, 0, 53, 0, 10, 63
"c:\Users\mscon\Desktop\trialBookingApp\public\css\form.css", "CSS", 0, 0, 0, 0, 43, 0, 6, 49
"c:\Users\mscon\Desktop\trialBookingApp\public\css\main.css", "CSS", 0, 0, 0, 0, 34, 2, 8, 44
"c:\Users\mscon\Desktop\trialBookingApp\public\css\modal.css", "CSS", 0, 0, 0, 0, 92, 0, 17, 109
"c:\Users\mscon\Desktop\trialBookingApp\public\css\table.css", "CSS", 0, 0, 0, 0, 88, 1, 17, 106
"c:\Users\mscon\Desktop\trialBookingApp\public\javascript\modal.js", "JavaScript", 0, 64, 0, 0, 0, 9, 12, 85
"c:\Users\mscon\Desktop\trialBookingApp\sql\project-database-init-script.sql", "SQL", 0, 0, 0, 70, 0, 4, 17, 91
"c:\Users\mscon\Desktop\trialBookingApp\views\appointmentAvailability.handlebars", "Handlebars", 131, 0, 0, 0, 0, 0, 29, 160
"c:\Users\mscon\Desktop\trialBookingApp\views\bookAppointment.handlebars", "Handlebars", 77, 0, 0, 0, 0, 0, 19, 96
"c:\Users\mscon\Desktop\trialBookingApp\views\home.handlebars", "Handlebars", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mscon\Desktop\trialBookingApp\views\layouts\main.handlebars", "Handlebars", 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\mscon\Desktop\trialBookingApp\views\participants.handlebars", "Handlebars", 155, 0, 0, 0, 0, 0, 25, 180
"c:\Users\mscon\Desktop\trialBookingApp\views\schedules.handlebars", "Handlebars", 43, 0, 0, 0, 0, 0, 6, 49
"Total", "-", 430, 824, 5492, 70, 310, 63, 409, 7598
